target 1,target 3,200,1
target 2,target 4,200,1
target 5,target 6,200,1
target 5,target 7,282.8427,1
target 5,target 8,200,1
target 6,target 8,282.8427,1
target 7,target 6,200,1
target 7,target 8,200,1
target 9,target 10,70.45,1
target 10,target 11,70.45,1
target 11,target 12,70.45,1
target 12,target 9,70.45,1
target 16,target 13,100,1
target 13,target 14,100,1
target 14,target 15,100,1
target 15,target 16,99.6,1
target 10,target 12,100,1
target 9,target 11,100.1,1
target 13,target 15,141,1
target 14,target 16,141.4,1
target 17,target 18,99.6,1
target 19,target 20,99.8,1
target 21,target 22,49.6,1
target 23,target 24,49.6,1
